NUMEROTATION,TYPE_DE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
373,"Soins en chirurgie d'un jour","Malformations congénitales de l'appareil circulatoire (Q20-Q28)",175,175,1.0,84,72,7,5,3,4,0,0.0,0.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
374,"Soins en chirurgie d'un jour","Malformations congénitales de l'appareil respiratoire (Q30-Q34)",52,52,1.0,30,4,4,5,5,4,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
375,"Soins en chirurgie d'un jour","Bec-de-lièvre et fente palatine (Q35-Q37)",30,30,1.0,3,18,8,1,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
376,"Soins en chirurgie d'un jour","Autres malformations congénitales de l'appareil digestif (Q38-Q45)",155,155,1.0,112,15,2,13,6,7,0,0.0,1.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
377,"Soins en chirurgie d'un jour","Malformations congénitales des organes génitaux (Q50-Q56)",1215,1215,1.0,861,201,118,25,5,5,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
378,"Soins en chirurgie d'un jour","Malformations congénitales de l'appareil urinaire (Q60-Q64)",90,90,1.0,63,7,9,5,2,4,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
379,"Soins en chirurgie d'un jour","Malformations congénitales et déformations du système ostéo-articulaire et des muscles (Q65-Q79)",439,439,1.0,235,119,43,34,5,3,0,0.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
380,"Soins en chirurgie d'un jour","Autres malformations congénitales (Q80-Q89)",248,248,1.0,74,53,61,43,14,3,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
381,"Soins en chirurgie d'un jour","Anomalies chromosomiques, non classées ailleurs (Q90-Q99)",13,13,1.0,8,3,1,1,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
382,"Soins en chirurgie d'un jour","Symptômes et signes relatifs aux appareils circulatoire et respiratoire (R00-R09)",250,250,1.0,41,21,15,37,57,79,0,0.0,4.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
383,"Soins en chirurgie d'un jour","Symptômes et signes relatifs à l'appareil digestif et à l'abdomen (R10-R19)",329,329,1.0,43,85,39,82,40,40,0,0.0,1.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
384,"Soins en chirurgie d'un jour","Symptômes et signes relatifs à la peau et au tissu cellulaire sous-cutané (R20-R23)",74,74,1.0,6,2,13,26,10,17,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
385,"Soins en chirurgie d'un jour","Symptômes et signes relatifs aux systèmes nerveux et ostéo-musculaire (R25-R29)",15,15,1.0,7,0,3,3,0,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
386,"Soins en chirurgie d'un jour","Symptômes et signes relatifs à l'appareil urinaire (R30-R39)",354,354,1.0,7,16,14,74,84,159,0,0.0,3.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
387,"Soins en chirurgie d'un jour","Symptômes et signes relatifs au langage et à la voix (R47-R49)",11,11,1.0,0,0,0,1,7,3,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
388,"Soins en chirurgie d'un jour","Symptômes et signes généraux (R50-R69)",277,277,1.0,32,27,43,67,48,60,0,0.0,0.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
389,"Soins en chirurgie d'un jour","Résultats anormaux de l'examen du sang, sans diagnostic (R70-R79)",6,6,1.0,0,1,0,2,1,2,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
390,"Soins en chirurgie d'un jour","Résultats anormaux de l'examen des urines, sans diagnostic (R80-R82)",10,10,1.0,0,1,0,0,3,6,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
391,"Soins en chirurgie d'un jour","Résultats anormaux de l'examen d'autres liquides, substances et tissus, sans diagnostic (R83-R89)",26,26,1.0,1,0,0,13,5,7,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
392,"Soins en chirurgie d'un jour","Résultats anormaux d'imagerie diagnostique et d'épreuves fonctionnelles, sans diagnostic (R90-R94)",152,152,1.0,13,5,0,28,48,58,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
393,"Soins en chirurgie d'un jour","Lésions traumatiques de la tête (S00-S09)",719,719,1.0,80,179,216,142,58,44,0,0.0,10.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
394,"Soins en chirurgie d'un jour","Lésions traumatiques du cou (S10-S19)",10,10,1.0,2,0,5,0,0,3,0,0.0,50.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
395,"Soins en chirurgie d'un jour","Lésions traumatiques du thorax (S20-S29)",36,36,1.0,0,1,15,8,6,6,0,0.0,8.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
396,"Soins en chirurgie d'un jour","Lésions traumatiques de l'abdomen, des lombes, du rachis lombaire et du bassin (S30-S39)",80,80,1.0,7,10,22,20,10,11,0,0.0,38.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
397,"Soins en chirurgie d'un jour","Lésions traumatiques de l'épaule et de la partie supérieure du bras (S40-S49)",3012,3012,1.0,166,186,737,1238,483,202,0,0.0,8.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
398,"Soins en chirurgie d'un jour","Lésions traumatiques du coude et de l'avant-bras (S50-S59)",4264,4264,1.0,206,455,685,1163,1035,720,0,0.0,16.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
399,"Soins en chirurgie d'un jour","Lésions traumatiques du poignet et de la main (S60-S69)",3434,3434,1.0,46,377,1347,997,419,248,0,0.0,13.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
400,"Soins en chirurgie d'un jour","Lésions traumatiques de la hanche et de la cuisse (S70-S79)",397,397,1.0,7,21,84,126,100,59,0,0.0,12.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
401,"Soins en chirurgie d'un jour","Lésions traumatiques du genou et de la partie inférieure de la jambe (S80-S89)",6011,6011,1.0,21,746,2289,1966,646,343,0,0.0,11.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
402,"Soins en chirurgie d'un jour","Lésions traumatiques de la cheville et du pied (S90-S99)",632,632,1.0,15,58,223,222,85,29,0,0.0,13.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
403,"Soins en chirurgie d'un jour","Lésions traumatiques de plusieurs parties du corps (T00-T07)",2,2,1.0,0,0,1,1,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
404,"Soins en chirurgie d'un jour","Lésions traumatiques de siège non précisé du tronc, d'un membre ou région du corps (T08-T14)",13,13,1.0,2,3,1,3,2,2,0,0.0,15.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
405,"Soins en chirurgie d'un jour","Effets dus à un corps étranger ayant pénétré dans un orifice naturel (T15-T19)",196,196,1.0,106,25,24,15,16,10,0,0.0,33.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
406,"Soins en chirurgie d'un jour","Brûlures et corrosions de la surface externe du corps, selon la localisation (T20-T25)",100,100,1.0,17,7,29,30,8,9,0,0.0,1.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
407,"Soins en chirurgie d'un jour","Brûlures et corrosions de l'oeil et des organes internes (T26-T28)",5,5,1.0,0,2,0,3,0,0,0,0.0,20.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
408,"Soins en chirurgie d'un jour","Brûlures et corrosions de parties du corps, multiples et non précisées (T29-T32)",4,4,1.0,0,1,1,1,1,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
409,"Soins en chirurgie d'un jour","Gelure (T33-T35)",5,5,1.0,0,0,2,1,2,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
410,"Soins en chirurgie d'un jour","Effets toxiques de substances d'origine essentiellement non médicinale (T51-T65)",2,2,1.0,2,0,0,0,0,0,0,0.0,100.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
411,"Soins en chirurgie d'un jour","Effets de causes externes, autres et non précisés (T66-T78)",8,8,1.0,0,0,0,2,2,4,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
412,"Soins en chirurgie d'un jour","Certaines complications précoces des traumatismes (T79)",23,23,1.0,0,2,3,12,4,2,0,0.0,4.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
413,"Soins en chirurgie d'un jour","Complications de soins chirurgicaux et médicaux, non classées ailleurs (T80-T88)",5737,5737,1.0,118,202,1027,1761,1269,1360,0,0.0,1.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
414,"Soins en chirurgie d'un jour","Sujets ayant recours aux services de santé pour des examens divers (Z00-Z13)",2977,2977,1.0,502,381,366,545,490,693,0,0.0,0.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
415,"Soins en chirurgie d'un jour","Sujets ayant recours aux services de santé pour des motifs liés à la reproduction (Z30-Z39)",2526,2526,1.0,0,25,1714,781,6,0,0,0.0,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
416,"Soins en chirurgie d'un jour","Sujets ayant recours aux services de santé pour des actes médicaux et des soins spécifiques (Z40-Z54)",25786,25786,1.0,895,1022,3877,7649,5496,6847,1,0.0,1.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
417,"Soins en chirurgie d'un jour","Sujets dont la santé peut être menacée par des conditions socio-économiques et psycho-sociales (Z55-Z65)",7,7,1.0,0,0,1,3,0,3,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
418,"Soins en chirurgie d'un jour","Sujets ayant recours aux services de santé pour d'autres motifs (Z70-Z76)",1,1,1.0,0,0,0,0,0,1,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
419,"Soins en chirurgie d'un jour","TOTAL",354970,354970,1.0,25329,12618,43697,80578,74941,117807,4,25.0,1.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
420,"Soins post-mortem","Sujets ayant recours aux services de santé pour des actes médicaux et des soins spécifiques (Z40-Z54)",100,261,2.6,0,3,23,36,22,16,0,0.0,1.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
421,"Soins post-mortem","Sujets dont la santé peut être menacée en raison d'antécédents personnels et familiaux et de certaines affections (Z80-Z99)",15,51,3.4,0,0,4,3,4,4,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
422,"Soins post-mortem","TOTAL",115,312,2.7,0,3,27,39,26,20,0,0.0,0.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
