iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
41,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Victorien-Roy","4 - Les rivages, espaces de bien-être et de loisirs","Maison acquise en 1925 par Victorien Roy, secrétaire-trésorier de la Ville de Pointe-aux-Trembles de 1917 à 1944.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison acquise en 1925 par Victorien Roy, secrétaire-trésorier de la Ville de Pointe-aux-Trembles de 1917 à 1944.","Vers 1900","Oui","http://www.flickr.com/photos/parcoursriverain/8498693386/",,"12560, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8087/8498693386_82dfd1c449_q.jpg",45.646999,-73.488197,305719.978588,5056345.039659,"Point"
42,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Modeste villas en bois construite vers 1914 entre la rue Notre-Dame et le fleuve Saint-Laurent. Au début du 20e siècle, plusieurs familles aisées se font construire des maisons de villégiature dans cette section de l’île qui possède encore un caractère agricole.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Modeste villas en bois construite vers 1914 entre la rue Notre-Dame et le fleuve Saint-Laurent. Au début du 20e siècle, plusieurs familles aisées se font construire des maisons de villégiature dans cette section de l’île qui possède encore un caractère agricole.","Vers 1914","Non","http://www.flickr.com/photos/parcoursriverain/8497590303/",,"12546, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8525/8497590303_b888a8b973_q.jpg",45.646801,-73.488197,305719.981836,5056322.994783,"Point"
43,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Modeste villas en bois construite entre la rue Notre-Dame et le fleuve Saint-Laurent. Elle est représentative de l’attrait exercé pour la campagne sur les familles aisées à cette époque.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Modeste villas en bois construite entre la rue Notre-Dame et le fleuve Saint-Laurent. Elle est représentative de l’attrait exercé pour la campagne sur les familles aisées à cette époque.","Vers 1915","Non","http://www.flickr.com/photos/parcoursriverain/8497590585/",,"12540, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8103/8497590585_58138de236_q.jpg",45.646599,-73.488297,305712.254178,5056300.524834,"Point"
44,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Arsène-Lacroix","4 - Les rivages, espaces de bien-être et de loisirs","Maison construite pour Arsène Lacroix, cultivateur et échevin de la Ville de Pointe-aux-Trembles.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison construite pour Arsène Lacroix, cultivateur et échevin de la Ville de Pointe-aux-Trembles.","1885","Oui","http://www.flickr.com/photos/parcoursriverain/8498705938/",,"12480, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8107/8498705938_e50fdabc5c_q.jpg",45.645699,-73.488503,305696.211908,5056200.472703,"Point"
45,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Adolphe-Colerette","4 - Les rivages, espaces de bien-être et de loisirs","Maison construite pour Adolphe Collerette, entrepreneur menuisier, sur une subdivision de la terre agricole de Jean-Baptiste Robert. La maison reste dans la famille Collerette-Robert jusqu’en 1998. Adolphe Collerette est connu notamment pour avoir dessiné les plans du troisième couvent de la Congrégation de Notre-Dame à Pointe-aux-Trembles.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison construite pour Adolphe Collerette, entrepreneur menuisier, sur une subdivision de la terre agricole de Jean-Baptiste Robert. La maison reste dans la famille Collerette-Robert jusqu’en 1998. Adolphe Collerette est connu notamment pour avoir dessiné les plans du troisième couvent de la Congrégation de Notre-Dame à Pointe-aux-Trembles.","Vers 1895","Oui","http://www.flickr.com/photos/parcoursriverain/8497602697/",,"12392-12394, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8102/8497602697_af703dd961_q.jpg",45.6446,-73.489098,305649.841971,5056078.371562,"Point"
46,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"2 - Les cours d'eau pour commercer et s'établir","Ancienne dépendance de ferme modifiée en 1986 pour la rendre habitable.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne dépendance de ferme modifiée en 1986 pour la rendre habitable.","Vers 1913","Non","http://www.flickr.com/photos/parcoursriverain/8498706008/",,"12320, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8381/8498706008_b8bb428831_q.jpg",45.6437,-73.489304,305633.79813,5055978.319627,"Point"
47,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison en brique érigée en bordure du fleuve à une époque où plusieurs familles aisées se font construire des maisons de villégiature dans cette section de l’île qui possède encore un caractère agricole.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison en brique érigée en bordure du fleuve à une époque où plusieurs familles aisées se font construire des maisons de villégiature dans cette section de l’île qui possède encore un caractère agricole.","Vers 1927","Non","http://www.flickr.com/photos/parcoursriverain/8497602331/",,"12286, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8380/8497602331_88248ebf3a_q.jpg",45.6432,-73.489098,305649.863139,5055922.785695,"Point"
48,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Jean-Versailles","4 - Les rivages, espaces de bien-être et de loisirs","Maison bâtie vers 1900 et acquise en 1909 par Jean Versailles, promoteur immobilier exploitant le service d’aqueduc de l’est de Montréal. Son frère Joseph fonde la Ville de Montréal-Est en 1910.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison bâtie vers 1900 et acquise en 1909 par Jean Versailles, promoteur immobilier exploitant le service d’aqueduc de l’est de Montréal. Son frère Joseph fonde la Ville de Montréal-Est en 1910.","Vers 1900","Oui","http://www.flickr.com/photos/parcoursriverain/8497603209/",,"12268, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8370/8497603209_5cf1067230_q.jpg",45.643002,-73.489197,305642.134676,5055900.739788,"Point"
49,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison en bois située en retrait de la rue Notre-Dame. Pour se rapprocher de la nature et des plans d’eau, plusieurs familles aisées se font construire des résidences dans cette partie de l’île, en campagne.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison en bois située en retrait de la rue Notre-Dame. Pour se rapprocher de la nature et des plans d’eau, plusieurs familles aisées se font construire des résidences dans cette partie de l’île, en campagne.","Vers 1930","Non","http://www.flickr.com/photos/parcoursriverain/8497602385/",,"12246, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8247/8497602385_f42bc506b2_q.jpg",45.6427,-73.488899,305665.333703,5055867.251728,"Point"
50,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison en brique adossée au fleuve et implantée en retrait de la rue. Elle est représentative de l’attrait de la campagne, à cette époque, pour les familles aisées qui souhaitent profiter de la nature et des plans d’eau.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison en brique adossée au fleuve et implantée en retrait de la rue. Elle est représentative de l’attrait de la campagne, à cette époque, pour les familles aisées qui souhaitent profiter de la nature et des plans d’eau.","Vers 1930","Non","http://www.flickr.com/photos/parcoursriverain/8510072319/",,"12238, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8099/8510072319_55a4bc33cc_q.jpg",45.642502,-73.489098,305649.873694,5055845.204746,"Point"
51,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Lauriault","4 - Les rivages, espaces de bien-être et de loisirs","Résidence bâtie pour Hormidas Lauriault, commis-voyageur. Transformée par Oscar Benoît, maire de Pointe-aux-Trembles de 1927 à 1931.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Résidence bâtie pour Hormidas Lauriault, commis-voyageur. Transformée par Oscar Benoît, maire de Pointe-aux-Trembles de 1927 à 1931.","Vers 1905","Oui","http://www.flickr.com/photos/parcoursriverain/8498732382/",,"12180, rue Notre-Dame est  Montréal QC, Canada","http://farm9.staticflickr.com/8106/8498732382_62aa2d10d7_q.jpg",45.641701,-73.489403,305626.096141,5055756.174248,"Point"
52,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Urgel-Charbonneau","4 - Les rivages, espaces de bien-être et de loisirs","Résidence construite pour Urgel Charbonneau, premier maire de la Ville de Pointe-aux-Trembles. Transformée en centre de réhabilitation et de réinsertion sociale en 1989.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Résidence construite pour Urgel Charbonneau, premier maire de la Ville de Pointe-aux-Trembles. Transformée en centre de réhabilitation et de réinsertion sociale en 1989.","1913","Oui","http://www.flickr.com/photos/parcoursriverain/8498732328/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0555-44-7628-01","11931, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8090/8498732328_8233308ae2_q.jpg",45.638802,-73.490997,305501.831333,5055433.965089,"Point"
53,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Parc","Parc Pierre-Payet","4b - Les parcs en rive","Parc linéaire riverain offrant des vues sur l’île Sainte-Thérèse et des accès à l’eau. Nommé en l’honneur de Pierre Payet dit Saint-Amour, un colon de Pointe-aux-Trembles fait prisonnier par les Iroquois en 1690.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Parc linéaire riverain offrant des vues sur l’île Sainte-Thérèse et des accès à l’eau. Nommé en l’honneur de Pierre Payet dit Saint-Amour, un colon de Pointe-aux-Trembles fait prisonnier par les Iroquois en 1690.",,"Non","http://www.flickr.com/photos/parcoursriverain/8497628083/",,"Terrasse Bellerive  Montréal QC, Canada","http://farm9.staticflickr.com/8244/8497628083_c5191d1687_q.jpg",45.692902,-73.482201,306186.267835,5061446.415658,"Point"
54,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Parc","Parc régional de la Pointe-aux-Prairies","4b - Les parcs en rive","Partie riveraine du parc régional de la Pointe-aux-Prairies, dont la majeure partie se trouve à Rivière-des-Prairies.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Partie riveraine du parc régional de la Pointe-aux-Prairies, dont la majeure partie se trouve à Rivière-des-Prairies.",,"Oui","http://www.flickr.com/photos/parcoursriverain/8497680651/","https://montreal.ca/lieux/parc-nature-de-la-pointe-aux-prairies","Montréal QC, Canada","http://farm9.staticflickr.com/8243/8497680651_309877358b_q.jpg",45.680801,-73.490997,305501.306802,5060101.554134,"Point"
55,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Parc","Parc Clémentine-De La Rousselière","4b - Les parcs en rive","Parc nommé en l’honneur de Clémentine Hébert de La Rousselière, résidente de Pointe-aux-Trembles. C’est près de cet endroit que le général britannique James Murray aurait touché terre avant de marcher sur Montréal en 1760.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Parc nommé en l’honneur de Clémentine Hébert de La Rousselière, résidente de Pointe-aux-Trembles. C’est près de cet endroit que le général britannique James Murray aurait touché terre avant de marcher sur Montréal en 1760.",,"Oui","http://www.flickr.com/photos/parcoursriverain/8497628553/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8100/8497628553_741c3d474a_q.jpg",45.668201,-73.492699,305368.899356,5058701.26031,"Point"
56,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Vue","Vue sur l’île Sainte-Thérèse","4 - Les rivages, espaces de bien-être et de loisirs","Île très fréquentée jusqu’à la fin des années 1950 par les baigneurs qui se rendaient à ses plages en prenant le traversier depuis le Bout-de-l’Île, à Pointe-aux-Trembles.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Île très fréquentée jusqu’à la fin des années 1950 par les baigneurs qui se rendaient à ses plages en prenant le traversier depuis le Bout-de-l’Île, à Pointe-aux-Trembles.",,"Non","http://www.flickr.com/photos/parcoursriverain/8497681735/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8234/8497681735_5e85b32469_q.jpg",45.6931,-73.482101,306193.987503,5061468.462434,"Point"
57,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Île Sainte-Thérèse","1 - L'archipel montréalais et la présence amérindienne","Île autrefois occupée par des groupes autochtones (site recensé).","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Île autrefois occupée par des groupes autochtones (site recensé).",,"Non",,,"Montréal QC, Canada",,45.681702,-73.468002,307292.570807,5060202.06311,"Point"
58,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Emplacement, lieu dit","Site de l’ancienne traverse du chemin du Roy","5 - L'eau, un obstacle à franchir par ponts et traverses","Ancienne traverse aujourd’hui remplacée par le pont Pierre-Le Gardeur. À proximité, on retrouvait les services typiques d’un relais : un terminus de tramway, une auberge, etc.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Disparu","Ancienne traverse aujourd’hui remplacée par le pont Pierre-Le Gardeur. À proximité, on retrouvait les services typiques d’un relais : un terminus de tramway, une auberge, etc.",,"Non",,,"Montréal QC, Canada",,45.702202,-73.4786,306466.453799,5062480.059028,"Point"
59,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Pont du Bout-de-l’Île","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont de chemin de fer construit pour le Canadien Nord (CN) entre le Bout-de-l’Île et Repentigny afin de desservir Shawinigan par voie ferroviaire.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Pont de chemin de fer construit pour le Canadien Nord (CN) entre le Bout-de-l’Île et Repentigny afin de desservir Shawinigan par voie ferroviaire.","1904","Non","http://www.flickr.com/photos/parcoursriverain/8497627553/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8366/8497627553_22295f995a_q.jpg",45.702599,-73.485603,305921.060991,5062524.027271,"Point"
