Gentile_no;Toponyme;Type_entite;Gentile;Prononciation;Variante;Commentaire;bibliographie;Toponyme_red
93;Bellecombe;Secteur (de la ville de Rouyn-Noranda);Bellecombien, Bellecombienne (1986*);;;"Commentaire : La municipalité de Bellecombe n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rouyn-Noranda. Le nom « Bellecombe » a toutefois été préservé; il identifie un secteur de cette ville.";;Bellecombe
94;Bellefeuille;Secteur (de la ville de Saint-Jérôme);Bellefeuillois, Bellefeuilloise (1983*);;;"Commentaire : La ville de Bellefeuille n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Saint-Jérôme. Le nom « Bellefeuille » a toutefois été préservé; il identifie un secteur de cette ville.";;Bellefeuille
95;Bellerive;Secteur résidentiel (de la ville de Salaberry-de-Valleyfield);Batochien, Batochienne (fin XIXe s.);;;Commentaire : Jadis, près de la gare de Bellerive, un petit village s'était formé et avait pris le nom de Batoche en rappel du siège de la révolte des Métis au Manitoba. Cette dénomination céda la place à celle de Bellerive en 1899.;;Bellerive
96;Belleterre;Ville;Belleterrien, Belleterrienne (1980*);;Variante (s) : Belleterrois.;;;Belleterre
97;Belmont;Région;Belmontois, Belmontoise (1976);;;"Commentaire : Nom de lieu formé à partir de Bellechasse et de Montmagny; découpage de nature administrative créé à des fins de structuration récréative.  La côte de Belmont désigne la façade littorale des circonscriptions électorales de Bellechasse et de Montmagny-L'Islet. Voir Jal (Région). L'appelation « Belmont » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.";;Belmont
98;Belil;Ville;Belillois, Belilloise (1972);;;;;Belil
1708;Bergeronnes;Municipalité de canton;Voir Les Bergeronnes (Municipalité);;;;;BERGERONNES
99;Bernard, Rue;Rue (de la ville de Montréal);Bernardin, Bernardine (1993);;;;;Bernard
100;Bernières;Secteur (de la ville de Lévis);Berniérois, Berniéroise (1984*);;;"Commentaire : La ville de Bernières n'existe plus depuis le 21 septembre 1994, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Lévis. Le nom « Bernières » a toutefois été préservé; il identifie un secteur de cette ville.";;Bernières
101;Bernierville;Ancienne municipalité de village;Berniervillois, Berniervilloise (1986*);;;Commentaire : La municipalité du village de Bernierville n'existe plus depuis le 29 novembre 2000, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Saint-Ferdinand. L'appellation « Bernierville » (Municipalité de village) n'a plus de statut officiel à la Commission de toponymie.;;Bernierville
102;Berry;Municipalité;Berryen, Berryenne (1986*);;;;;Berry
104;Berthier;Village (de la ville de Berthierville);Berthelais, Berthelaise (1972);;"Variante (s) : Berthelet; Berthelois; Berthiérain (1917).";Commentaire : Nous n'avons pu retracer le motif de dérivation de ce gentilé, cependant d'usage courant. Un journal, Le Berthelais, a paru localement de 1938 à 1967 et une troupe de théâtre des années 80 a pour nom Le Berthelineault. Voir Berthier-sur-Mer et Berthierville. L'appellation « Berthier » (Village) n'a pas été officialisée à ce jour par la Commission de toponymie.;;Berthier
103;Berthier, Circonsciption électorale de;Circonscription électorale provinciale;Berthelais, Berthelaise (1984);;Variante (s) : Berthelois (1981).;;;Berthier
105;Berthier-sur-Mer;Municipalité ;Berthelais, Berthelaise (1999*);;;Commentaire : Le gentilé Berthelet, Berthelette avait d'abord été retenu par les autorités municipales en 1986.;;BerthiersurMer
106;Berthierville;Ville;Berthelais, Berthelaise (1931);;"Variante (s) : Berthelet; Berthevillois; Berthiervillois; Berthois.";Commentaire : En raison de la présence du suffixe -ville, la forme Berthiervillois paraîtrait plus « naturelle » ou prévisible. Une revue intitulée La Vie Berthelaise a paru du début des années 1960.;;Berthierville
107;Béthanie;Municipalité;Béthanien, Béthanienne (1986*);;;;;Béthanie
108;Betsiamites;Réserve indienne;Voir Pessamit (Réserve indienne);;;;;Betsiamites
109;Biencourt;Municipalité;Biencourtois, Biencourtoise (1976*);;;;;Biencourt
110;Bishopton;Secteur (de la municipalité de Dudswell);"Bishoptonnien, Bishoptonnienne (1985*); ";[BI-CHOP-TO-NYIN/NYENNE];Variante (s) : Bishoptoner (1985*) (forme anglaise);"Commentaire : La municipalité du village de Bishopton n'existe plus depuis le 11 octobre 1995, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Dudswell. Le nom « Bishopton » a toutefois été préservé; il identifie un secteur de cette municipalité.";;Bishopton
111;Black Lake;Secteur (de la ville de Thetford Mines);Black-Lakien, Black-Lakienne (1986*) ;[BLAK-LÉ-KYIN/KYENNE];;"Commentaire : La ville de Black Lake n'existe plus depuis le 17 octobre 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Thetford Mines. Le nom « Black Lake » a toutefois été préservé; il identifie un secteur de cette ville.";;BlackLake
113;Blainville;Ville;Blainvillois, Blainvilloise (1975*);;;;Bibliographie : ANONYME (1986), « Gentilé: Blainvillois », dans Courrier de Groulx,       Laval-des-Rapides, 9 mars.;Blainville
112;Blainville, Seigneurie de;Seigneurie;Blainvillier, Blainvillière (1779);;;Commentaire : Cette appellation figure à deux reprises dans la correspondance de monseigneur Jean-Olivier Briand (1715-1794), conservée aux Archives de l'Archevêché de Québec.;;Blainville
114;Blanc-Sablon;Municipalité;Blanc-Sablonnais, Blanc-Sablonnaise (1970);;"Variante (s) : Blancsablonnais (1968); Blanc-Sablonnien.";;;BlancSablon
115;Blue Sea;Municipalité;Blueseabien, Blueseabienne (1984*) ;[BLOU-SI-BYIN/BYENNE];;;;BlueSea
2941;Boileau;Municipalité;Boilois, Boiloise (2019*);;;;;BOILEAU
116;Boisbriand;Ville;Boisbriannais, Boisbriannaise (1980*);;;Commentaire : Le dérivé tient davantage compte de la prononciation du nom de la ville que de son orthographe. ;;Boisbriand
117;Boischatel;Municipalité;Boischatelois, Boischateloise (1984*);;;Commentaire : La municipalité du village de Saint-Jean-de-Boischatel est devenue la municipalité de Boischatel, le 23 novembre 1991.;;Boischatel
118;Bois-des-Filion;Ville;Filionois, Filionoise (1987*);;"Variante (s) : Bois-des-Filionais (1983); Bois-des-Filionnais (1986); Boisdesfillionnais (1986); Filionnais (1984); Filionnois (1990).";Commentaire : La forme Bois-des-Filionais, Bois-des-Filionaise, attestée en 1983, n'a pas reçu l'assentiment des autorités municipales en raison de sa non-implantation dans l'usage et de sa consonance particulière. On lui a préféré Filionois, Filionoise, utilisée couramment depuis 1987. ;Bibliographie : ANONYME (1986), « Gentilé », dans Courrier de Groulx, Laval, 23 février.;BoisdesFilion
2901;Bois-Franc;Municipalité;Bois-Francien, Bois-Francienne (2015*);;;;;BoisFranc
119;Bois-Francs;Région;Sylvifranc, Sylvifranche (1969);;"Variante (s) : Bois-Francien; Bois-François, Francsilvain; Francsylvain; Silvifranc.";Commentaire : Compte tenu des difficultés que suscite la dérivation d'un nom de lieu de cette nature, on a opté pour la forme latine du vocable « bois », silva, qui signifie également « forêt », à laquelle on a adjoint la voyelle de passage. La variante Francsilvain sonne agréablement à l'oreille et s'inscrit dans la foulée des gentilés tirés de permutations comme Louperivois (Rivière-du-Loup), Magnymontois (Montmagny), Montvalois (Val-des-Monts), etc. L'appellation « Bois-Francs » (Région) n'a pas été officialisée à ce jour par la Commission de toponymie.;Bibliographie : DUGAS, Jean-Yves (1985), « Les citoyens des Bois-Francs : des Francsilvains? », dans Aux sources des Bois-Francs, Victoriaville, vol. 3 no 3, mars, p. 89-90.;BoisFrancs
120;Bolton-Est;Municipalité;Boltonnois, Boltonnoise (2008*) East Boltoner (1986*) (forme anglaise);;;;;BoltonEst
121;Bolton-Ouest;Municipalité;West Boltonite (1989) (forme anglaise);;;Commentaire : Gentilé formé à partir de la version anglaise du nom municipal, West Bolton.;;BoltonOuest
123;Bonaventure;Ville;Bonaventurien, Bonaventurienne (1861);;;;;Bonaventure
122;Bonaventure, Circonscription électorale de;Circonscription électorale provinciale;Bonaventurien, Bonaventurienne (1970);;;;;Bonaventure
1823;Bonsecours;Municipalité;Bonsecourois, Bonsecouroise (2007*);;;;;bonsecours
124;Boucher;Municipalité;Voir Trois-Rives (Municipalité);;;Commentaire : En 1986, la municipalité de Boucher avait adopté le gentilé Boucherois. En 1998, la municipalité de Boucher est devenue la municipalité de Trois-Rives. ;;Boucher
125;Boucherville;Ville ;Bouchervillois, Bouchervilloise (1891) ;[BOU-CHER-VI-LOI/LOIZ];;;;Boucherville
126;Bouchette;Municipalité;Bouchettois, Bouchettoise (1986*);;;;Bibliographie : M(ILLAR), C(harles) (1986), « Les gens de Bouchette sont maintenant       des Bouchettois », dans La Gazette, Maniwaki, 10 mars, p. 5.;Bouchette
127;Bourget;Village;Bourgetain, Bourgetaine (1978);;;Commentaire : L'appellation « Bourget » (Village) n'a pas été officialisée à ce jour par la Commission de toponymie.;;Bourget
128;Bourlamaque;Secteur (de la ville de Val-d'Or);Bourlamaquais, Bourlamaquaise (1938);;;;;Bourlamaque
129;Bout-de-l'Île;Lieu-dit (de la ville de Montréal);Bout-de-l'Îlien, Bout-de-l'Îlienne (1980);;;;;BoutdelÎle
130;Bowman;Municipalité;Bowmanois, Bowmanoise (1986*);;;;;Bowman
131;Brandon;Canton;Brandonnien, Brandonnienne (1994);;;;;Brandon
133;Brébeuf;Municipalité;Brégeois, Brégeoise (1986*);;;Commentaire : Gentilé qui provient de l'emboîtement de [Bré]beuf et de Rivière Rou[ge], laquelle coule au centre du village, auxquels le suffixe -ois a été adjoint.  Cette appellation a été fixée suite à un concours lancé au sein de la population locale.;Bibliographie : ANONYME (1986), « Le nouveau nom des résidents du village de Brébeuf sera : Brégeois! », dans L'Information du Nord, Saint-Jovite, 12 mai.;BREBEUF
132;Brébeuf;Lieu-dit (de la municipalité de Nouvelle);Brébeufien, Brébeufienne (1977);;;Commentaire : Le village de Brébeuf, établi sur le territoire de la municipalité de Nouvelle, dans la région gaspésienne, en 1930, a été fermé en 1971.;;Brébeuf
134;Brigham;Municipalité;Brighamois, Brighamoise (1988*);;;;;Brigham
135;Brion;Campement;Brionnais, Brionnaise (1979);;;Commentaire : Campement temporaire regroupant 135 hommes et 5 femmes, situé dans le secteur du chantier de Caniapiscau de 1977 à 1980 et qui a été démantelé par la suite. L'appellation « Brion » (Campement) n'a pas été officialisée à ce jour par la Commission de toponymie.;;Brion
2920;Bristol;Municipalité;"Bristolois, Bristoloise (2015*); Bristolian (2015*) (en anglais)";;;;;Bristol
136;Brome-Missisquoi;MRC;Bromisquois, Bromisquoise (1986*);;;Commentaire : Formation-gigogne qui consiste à télescoper deux constituants du toponyme souche pour obtenir le gentilé.;;BromeMissisquoi
137;Bromont;Ville;Bromontois, Bromontoise (1972*);;;;;Bromont
138;Brompton Gore;Ancienne municipalité;Gorois, Goroise (1986*);;;Commentaire : La municipalité de Brompton Gore n'existe plus depuis le 15 février 1995, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Racine. L'appellation « Brompton Gore » (Municipalité) n'a plus de statut officiel à la Commission de toponymie.;;BromptonGore
139;Bromptonville;Ancienne ville;Bromptonvillois, Bromptonvilloise (1978*);;;Commentaire : La ville de Bromptonville n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Sherbrooke. L'appellation « Bromptonville » (Ville) n'a plus de statut officiel à la Commission de toponymie. ;;Bromptonville
140;Brossard;Ville;Brossardois, Brossardoise (1982*);;Variante (s) : Brossardien (1967);;Bibliographie : ANONYME (1986), « Le gentillé (sic) de Brossard », dans Brossard-Éclair, Brossard, 24 février.;Brossard
141;Broughton;Canton;Broughtonnien, Broughtonnienne (1941);;;;;Broughton
142;Brownsburg;Ancienne municipalité de village;"Brownsbourgeois, Brownsbourgeoise (1983*); Brownsburger (1983) (forme anglaise)";;Variante (s) : Brownsburgeois (1978).;Commentaire : La municipalité du village de Brownsburg n'existe plus depuis le 6 octobre 1999, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Brownsburg-Chatham. L'appellation « Brownsburg » (Municipalité de village) n'a plus de statut officiel à la Commission de toponymie. On assiste à la francisation du constituant -burg en -bourg. ;;Brownsburg
143;Bruchési;Secteur (de de la ville de Sainte-Anne-des-Plaines);Bruchésien, Bruchésienne (1985);;;Commentaire : Un journal qui dessert le secteur Bruchési porte le nom de Le Bruchésien. L'appellation « Bruchési » (Secteur) n'a pas été officialisée à ce jour par la Commission de toponymie.;;Bruchési
144;Brunet;Village (de la ville de Mont-Laurier);Brunetois, Brunetoise (1987);;;;;Brunet
145;Buckingham;Secteur (de la ville de Gatineau);"Buckinois, Buckinoise (1980); Buckinghamer (1981) (forme anglaise)";;Variante (s) : Buckinghamois.;"Commentaire : La ville de Buckingham n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Gatineau. Le nom « Buckingham » a toutefois été préservé; il identifie un secteur de cette ville. Le processus moderne qui consiste à abréger le plus possible les appellations trouve ici son expression achevée, car la forme Buckinois a été relevée plus de trente fois en ce qui concerne les occurrences identifiées. ";;Buckingham
146;Bury;Municipalité;Buryen, Buryenne (1979*) ;[BU-RYIN/RYENNE];;;;Bury
147;Cabano;Secteur (de la ville de Témiscouata-sur-le-Lac);Cabanois, Cabanoise (1978*);;;"Commentaire : La ville de Cabano n'existe plus depuis le 5 mai 2010, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Témiscouata-sur-le-Lac. Le nom « Cabano » a toutefois été préservé; il identifie un secteur de cette ville.";;Cabano
1704;Cacouna;Municipalité;Cacounois, Cacounoise (2006);;"Variante (s) : Cacounais; Cacounaise (1872); Cacounachon (1912); Cacouniais (1870); Cacounien; Cacounois.";Commentaire : Les variantes Cacounachon et Cacouniais véhiculent une connotation humoristique, voire gouailleuse. Cacounois constitue la forme alternative la plus usitée.La municipalité de Cacouna est issue du regroupement de la municipalité de la paroisse de Saint-Georges-de-Cacouna et de la municipalité du village de Saint-Georges-de-Cacouna, le 22 mars 2006. Le gentilé Cacounais était celui du village de Cacouna depuis 1872, Cacounois, celui de la municipalité du village de Saint-Georges-de-Cacouna depuis 1978 et Cacounien, celui de la municipalité de la paroisse de Saint-Georges-de-Cacouna depuis 1986.;Bibliographie : LEBEL, Réal (1975), Au pays du porc-épic. Kakouna 1673-1975, Cacouna, Comité des fêtes de Cacouna, 296 p. ;Cacouna 
